Indicator ID,Prevalence Change Category ,Prevalence Change Cutoffs,Change HEX
1,0,-24.2925,
1,1,-2.621941,#2E7265
1,2,0,#6D9F95
1,3,7.954104,#E87D7F
1,4,57.85747,#DF4649
2,0,-9.957491,
2,1,-1.404355,#2E7265
2,2,0,#6D9F95
2,3,0.6504828,#E87D7F
2,4,4.909562,#DF4649
3,0,32.38452,
3,1,5.743549,#2E7265
3,2,0,#6D9F95
3,3,-8.85495,#E87D7F
3,4,-39.83645,#DF4649
4,0,41.19954,
4,1,12.90614,#2E7265
4,2,0,#6D9F95
4,3,-5.016178,#E87D7F
4,4,-39.42297,#DF4649
5,0,53.52401,
5,1,13.92095,#2E7265
5,2,0,#6D9F95
5,3,-6.561229,#E87D7F
5,4,-40.65004,#DF4649
6,0,37.41183,
6,1,6.525742,#2E7265
6,2,0,#6D9F95
6,3,-5.3592,#E87D7F
6,4,-25.21013,#DF4649
7,0,52.25782,
7,1,8.281105,#2E7265
7,2,0,#6D9F95
7,3,-2.717587,#E87D7F
7,4,-16.35892,#DF4649
8,0,56.81642,
8,1,17.24918,#2E7265
8,2,0,#6D9F95
8,3,-5.877958,#E87D7F
8,4,-28.11895,#DF4649
9,0,41.56162,
9,1,8.703175,#2E7265
9,2,0,#6D9F95
9,3,-3.768539,#E87D7F
9,4,-17.01678,#DF4649
10,0,81.06126,
10,1,10.71613,#2E7265
10,2,0,#6D9F95
10,3,-4.37738,#E87D7F
10,4,-35.81849,#DF4649
11,0,62.81033,
11,1,19.46371,#2E7265
11,2,0,#6D9F95
11,3,-6.01079,#E87D7F
11,4,-24.09766,#DF4649
12,0,57.43074,
12,1,14.92191,#2E7265
12,2,0,#6D9F95
12,3,-4.073519,#E87D7F
12,4,-24.43604,#DF4649
13,0,-16.37898,
13,1,-2.325035,#2E7265
13,2,0,#6D9F95
13,3,1.852871,#E87D7F
13,4,12.30614,#DF4649
14,0,45.35745,
14,1,6.994598,#2E7265
14,2,0,#6D9F95
14,3,-2.46563,#E87D7F
14,4,-11.55424,#DF4649
16,0,45.97959,
16,1,9.505924,#2E7265
16,2,0,#6D9F95
16,3,-4.286545,#E87D7F
16,4,-25.08048,#DF4649
19,0,57.11936,
19,1,10.8511,#2E7265
19,2,0,#6D9F95
19,3,-7.697645,#E87D7F
19,4,-33.4621,#DF4649
20,0,-44.10595,
20,1,-3.32195,#2E7265
20,2,0,#6D9F95
20,3,1.36208,#E87D7F
20,4,7.513951,#DF4649
21,0,46.92515,
21,1,12.46516,#2E7265
21,2,0,#6D9F95
21,3,-6.682273,#E87D7F
21,4,-30.47852,#DF4649
22,0,50.3256,
22,1,13.76622,#2E7265
22,2,0,#6D9F95
22,3,-5.495461,#E87D7F
22,4,-19.63014,#DF4649
23,0,54.10641,
23,1,5.747391,#2E7265
23,2,0,#6D9F95
23,3,-0.4918518,#E87D7F
23,4,-18.53518,#DF4649
24,0,60.619,
24,1,6.557243,#2E7265
24,2,0,#6D9F95
24,3,-0.2932358,#E87D7F
24,4,-5.355438,#DF4649
25,0,-10.77752,
25,1,-2.216326,#2E7265
25,2,0,#6D9F95
25,3,5.834039,#E87D7F
25,4,26.78717,#DF4649
26,0,-19.38475,
26,1,-2.664401,#2E7265
26,2,0,#6D9F95
26,3,10.46879,#E87D7F
26,4,32.84647,#DF4649
27,0,-15.20502,
27,1,-1.106045,#2E7265
27,2,0,#6D9F95
27,3,3.715416,#E87D7F
27,4,29.7473,#DF4649
28,0,47.56888,
28,1,11.12497,#2E7265
28,2,0,#6D9F95
28,3,-4.12619,#E87D7F
28,4,-29.68567,#DF4649
29,0,32.90163,
29,1,2.330804,#2E7265
29,2,0,#6D9F95
29,3,-0.7544942,#E87D7F
29,4,-4.256715,#DF4649
30,0,56.38581,
30,1,14.94789,#2E7265
30,2,0,#6D9F95
30,3,-7.905079,#E87D7F
30,4,-25.18808,#DF4649
31,0,49.24391,
31,1,11.24695,#2E7265
31,2,0,#6D9F95
31,3,-5.665634,#E87D7F
31,4,-25.95785,#DF4649
32,0,-20.49167,
32,1,-4.765323,#2E7265
32,2,0,#6D9F95
32,3,2.024551,#E87D7F
32,4,8.713987,#DF4649
33,0,52.38209,
33,1,10.78538,#2E7265
33,2,0,#6D9F95
33,3,-5.664679,#E87D7F
33,4,-23.08326,#DF4649
34,0,74.52742,
34,1,22.194,#2E7265
34,2,0,#6D9F95
