Indicator ID,Category ID,Indicator Direction,Change Availability,All India Prevalence 2016,All India Prevalence 2021,All India Prevalence Change,All India Headcount 2021
1,1,2,1,39.34,45.6,6.26,622000000
2,2,2,1,1.76,1.59,-0.17,1816941
3,2,1,1,73.2,69.2,-4,79100000
4,2,1,1,50.7,60.7,10,69400000
5,2,1,1,78.8,71,-7.8,81100000
6,2,1,1,68,71,3,81100000
7,2,1,1,78.8,86.7,7.9,18300000
8,2,1,1,62.6,76.9,14.3,16200000
9,2,1,1,77.9,82.6,4.7,17400000
10,2,1,1,27.4,40.5,13.1,552000000
11,2,1,1,63.5,81.9,18.4,17200000
12,2,1,1,54.1,67.6,13.5,77200000
13,2,2,1,17.66,17.69,0.03,20200000
14,2,1,1,81.6,88.2,6.6,18600000
15,2,1,2,,59,,12500000
16,2,1,1,73,80.4,7.4,16900000
18,2,1,2,,36.9,,7771329
19,2,1,1,62.8,67.8,5,32700000
20,2,2,1,10.38,6.73,-3.65,1417373
21,3,1,1,52.1,59.5,7.4,52200000
22,3,1,1,58.95,70.19,11.24,61600000
23,3,1,1,79.73,89.06,9.33,102000000
24,3,1,1,79.08,91.37,12.29,104000000
25,3,2,1,17.4,21.7,4.3,24800000
26,3,2,1,41.36,47.8,6.44,14300000
27,3,2,1,11.99,14.4,2.41,10200000
28,3,1,1,52.28,62.04,9.76,70900000
29,3,1,1,5.62,9.42,3.8,24600000
30,3,1,1,53.54,66.69,13.15,174000000
31,3,1,1,47.76,56.43,8.67,147000000
32,3,2,1,12.86,9.4,-3.46,24600000
33,3,1,1,19.8,29.7,9.9,77600000
34,3,1,1,46.6,62.3,15.7,163000000
35,3,1,1,36,37.9,1.9,99000000
36,3,1,1,4.3,3.2,-1.1,409920.2
37,3,1,2,,0.6,,1567577
38,3,1,1,78.9,88.6,9.7,101000000
39,3,1,1,30.6,44.3,13.7,38900000
40,3,1,1,14.6,26.2,11.6,23000000
41,3,1,1,1.5,2.1,0.6,5486519
42,3,1,1,0.3,0.3,0,783788.4
43,3,1,1,89.9,89.8,-0.1,78800000
44,3,1,1,89.3,95.9,6.6,83000000
45,3,1,1,89.8,92.6,2.8,80200000
46,3,1,1,4.1,5.1,1,13300000
47,3,1,1,62.8,80.3,17.5,70400000
49,3,1,1,85.6,94,8.4,82400000
50,3,1,1,81.8,89.6,7.8,102000000
51,3,2,1,5.65,4.05,-1.6,10600000
52,4,2,1,9.2,7.32,-1.88,8364784
53,4,2,2,,16.25,,62700000
54,4,2,2,,11.69,,42400000
55,4,2,1,4.19,5.05,0.86,19500000
56,4,2,1,3.04,4.21,1.17,15300000
57,4,2,1,9.56,9.8,0.24,37800000
58,4,2,1,6.51,8.15,1.64,29600000
59,4,2,1,11.59,12.04,0.45,46500000
60,4,2,1,6.78,7.73,0.95,28000000
61,4,2,1,3.57,3.34,-0.23,12900000
62,4,2,1,2.48,2.2,-0.28,7983030
63,4,2,1,44.1,3.74,-40.36,4273810
64,4,2,1,39.7,34.2,-5.5,39100000
65,4,2,2,,24.7,,28200000
66,4,2,1,29.2,58.42,29.22,212000000
67,4,2,1,4.46,3.95,-0.51,15200000
68,4,2,1,2.76,3.31,0.55,12000000
69,5,2,1,54.08,54.08,0,33200000
70,5,2,1,53.1,53.76,0.66,195000000
71,5,2,1,50.41,49.67,-0.74,14280.62
72,5,2,1,58.67,58.67,0,60600000
73,5,2,1,38.4,35.5,-2.9,40600000
74,5,2,1,35.8,32.1,-3.7,36700000
75,5,2,1,21,19.2,-1.8,21900000
76,5,2,1,27.9,29.2,1.3,30100000
77,5,2,1,24.7,24.2,-0.5,87800000
78,5,2,1,29.3,36.5,7.2,37700000
79,5,2,1,26.6,27.8,1.2,101000000
80,5,2,1,2.1,3.4,1.3,3885282
81,5,2,1,20.6,23.9,3.3,86700000
82,5,2,1,1.5,2.1,0.6,2168159
83,5,2,1,2.4,2.5,0.1,9071625
84,5,2,1,16.3,15.3,-1,17500000
85,5,2,1,10.8,10.3,-0.5,11800000
86,5,2,1,7.5,7.6,0.1,8684748
87,5,2,1,22.9,18.7,-4.2,65300000
88,6,1,1,8.7,10.6,1.9,2880516
89,6,1,1,14.5,12.5,-2,603748.6
90,6,1,1,9.6,10.9,1.3,3488858
91,6,1,1,42.3,42.2,-0.1,25000000
92,6,1,1,56,69.3,13.3,79200000
93,6,1,1,92.9,93.9,1,1280000000
94,6,1,1,54.92,63.39,8.47,8199942
95,6,1,1,42.67,45.99,3.32,2443769
96,6,2,1,17.2,17.8,0.6,5697401
97,7,1,1,87.98,96.76,8.78,1320000000
98,7,1,1,41.19,55.96,14.77,763000000
99,7,1,2,,70.71,,964000000
100,7,1,1,61.12,72.83,11.71,993000000
101,7,1,1,57.91,77.56,19.65,94100000
102,7,1,1,48.44,69.95,21.51,953000000
103,7,1,1,90.18,95.87,5.69,1310000000
104,7,1,2,,33.3,,121000000
105,7,1,1,51.07,72.46,21.39,988000000
106,7,1,1,36.12,39.3,3.18,34500000
107,7,1,1,45.84,54.87,9.03,199000000
108,1,2,1,29.2,17.5,-11.7,67500000
109,1,2,1,1.2,0.7,-0.5,2540055
110,1,2,1,20.1,18.15,-1.95,11400000
111,1,2,1,26.7,23.6,-3.1,14300000
112,1,1,1,24.41,24.95,0.54,90500000
113,1,1,1,69.17,71.79,2.62,235000000
114,1,1,1,45.85,50.21,4.36,194000000
115,1,1,1,35.69,40.96,5.27,149000000
116,1,2,1,31.5,29.4,-2.1,82100000
117,1,1,1,84.42,84.37,-0.05,326000000
118,1,1,1,68.37,71.38,3.01,259000000
119,1,2,1,28.62,26.53,-2.09,362000000
120,1,2,1,2.1,1.7,-0.4,2438489
121,1,2,1,7.9,6.8,-1.1,4177447
122,1,2,1,6.8,4.1,-2.7,14900000
123,1,2,1,44.5,32.6,-11.9,126000000
124,1,1,1,83.94,88.68,4.74,232000000
