State ID,Indicator ID,State Prevalence 2016,State Prevalence 2021,State Prevalence Change ,State Headcount 2021
1,1,38.83531,55.47356,16.63826,6791109
1,2,3.78997,2.263851,-1.526119,18433.38
1,9,84.53864,95.94054,11.4019,135231.1
1,3,78.28831,62.33246,-15.95584,507541.4
1,4,69.54384,80.78233,11.23849,657769.3
1,5,88.49072,73.74076,-14.74995,600433.4
1,6,74.15735,73.74076,-0.4165878,600433.4
1,7,88.49072,93.1019,4.611183,131229.9
1,8,75.74293,87.09646,11.35353,122765.1
1,10,4.120787,13.64673,9.525944,1670642
1,11,70.69238,91.27926,20.58688,128660.9
1,12,33.22427,49.02737,15.80309,399204.8
1,13,13.77633,10.37184,-3.404488,84452.59
1,14,86.59563,92.47803,5.882393,130350.6
1,15,,73.50247,,117094.6
1,16,83.76668,88.16705,4.400368,124274.1
1,18,,5.295559,,7464.25
1,19,69.14288,77.52068,8.3778,258454.7
1,20,6.079161,5.040512,-1.038649,7104.752
1,21,82.37589,82.16213,-0.2137604,570276.7
1,22,76.63497,86.65487,10.0199,601460.2
1,23,77.41996,95.31983,17.89987,776140.8
1,24,71.58801,90.92151,19.3335,740327.5
1,25,33.72017,41.82446,8.10429,340555.3
1,26,76.24463,82.83595,6.591316,37702.78
1,27,35.72084,42.84023,7.119389,302664.9
1,28,77.85947,86.82577,8.966301,706977.9
1,29,11.25525,11.6692,0.4139423,279236.2
1,30,56.99249,59.77159,2.779102,1430295
1,31,45.76685,52.49216,6.725315,1256103
1,32,12.38524,7.784791,-4.60045,186284.9
1,33,14.44439,16.88133,2.436947,403959.2
1,34,38.78837,64.00848,25.22011,1531681
1,35,24.388,21.10804,-3.279955,505101.6
1,36,2.169155,3.063148,0.8939927,1883.989
1,37,,3.56543,,85318.39
1,38,85.57876,92.39235,6.813591,752303.8
1,39,30.34385,29.63252,-0.711338,205675.5
1,40,16.6784,15.90049,-0.7779036,110363.3
1,41,2.398558,5.863218,3.46466,140302.9
1,42,0.385177,0.3320766,-0.0531004,7946.374
1,43,89.5585,98.33549,8.776993,682533.9
1,44,88.73777,97.30504,8.567268,666670.9
1,45,88.85475,91.974,3.119247,630146.1
1,46,6.307425,8.981389,2.673964,214918.7
1,47,74.73993,81.99786,7.257927,569136.4
1,49,89.87003,97.4851,7.615067,676631.4
1,50,87.5189,95.13402,7.61512,774627.8
1,51,5.775781,3.88472,-1.891062,92958.77
1,52,7.563207,5.606289,-1.956917,45649.16
1,53,,12.3894,,478456.7
1,54,,12.4897,,410986.5
1,55,3.458697,2.355875,-1.102822,90979.73
1,56,3.285915,2.33782,-0.9480958,76928.41
1,57,9.081179,4.078239,-5.002939,157494.4
1,58,6.706501,4.707561,-1.99894,154907.3
1,59,11.1215,8.286994,-2.834504,320029.1
1,60,9.044542,7.436103,-1.608439,244692.8
1,61,3.448598,1.354201,-2.094397,52296.87
1,62,3.15736,1.519778,-1.637581,50009.91
1,63,3.526004,1.712425,-1.813579,13943.4
1,64,3.174738,1.567985,-1.606753,12767.3
1,65,2.268512,0.9354602,-1.333051,7616.975
1,66,,88.13259,,2900096
1,67,3.259073,1.034618,-2.224455,39955.11
1,68,2.404587,1.640192,-0.7643943,53972.25
1,69,50.03191,71.07388,21.04197,353840.6
1,70,49.0018,63.69141,14.68961,2095833
1,71,47.13376,43.26419,-3.869568,174.7873
1,72,53.5333,72.66563,19.13233,531033.9
1,73,27.77586,26.89134,-0.8845253,218962.5
1,74,16.74702,21.00459,4.257574,171029.7
1,75,12.19356,18.99132,6.797756,154636.6
1,76,22.50591,27.41382,4.907919,200337.8
1,77,20.7195,24.44541,3.725908,804401.8
1,78,28.87038,35.27369,6.403313,257777
1,79,25.93388,37.55096,11.61708,1235654
1,80,5.654957,9.563109,3.908152,77867.52
1,81,29.29314,29.35907,0.0659256,966090.9
1,82,1.082375,1.804473,0.7220985,13186.93
1,83,3.170712,2.714277,-0.4564345,89316.13
1,84,12.10346,11.78207,-0.321393,95935.38
1,85,4.877066,8.389321,3.512256,68309.97
1,86,5.576674,9.651463,4.074789,78586.94
1,87,12.08482,5.193852,-6.890964,161997.3
1,88,22.06285,12.55017,-9.512682,22644.4
1,89,33.44342,21.49144,-11.95197,5626.89
1,90,23.78348,13.67172,-10.11175,28250.43
1,91,46.32106,56.18579,9.864731,246388.8
1,92,30.18936,42.0325,11.84314,342249.2
1,93,94.60686,97.70692,3.100052,12000000
1,94,65.10107,61.47703,-3.624039,60728.85
1,95,49.85198,41.78013,-8.07185,14792.67
1,96,16.03907,17.4066,1.367531,35967.96
1,97,97.2429,99.25745,2.014549,12200000
1,98,54.10229,67.28632,13.18402,8237234
1,99,,75.96336,,9299484
1,100,78.73143,87.20825,8.476822,10700000
1,101,67.18729,74.52982,7.342522,795191.4
1,102,53.63083,75.27708,21.64625,9215468
1,103,88.87395,91.90577,3.031815,11300000
1,104,,43.34266,,1426236
1,105,69.42857,90.06644,20.63787,11000000
1,106,54.11909,49.54299,-4.576099,343871.4
1,107,54.02139,75.20682,21.18542,2474759
1,108,10.29461,7.505698,-2.788915,289856.8
1,109,0.0860554,0.2330324,0.1469769,7668.175
1,110,10.9756,8.688155,-2.287449,61987.82
1,111,8.894127,4.895719,-3.998408,28125.17
1,112,12.12304,15.89357,3.770535,522994.6
1,113,65.85915,70.14627,4.287117,2007970
1,114,47.37373,68.2091,20.83537,2634115
1,115,37.17225,51.24597,14.07372,1686302
1,116,9.603869,9.5634,-0.0404692,200454.9
1,117,85.44547,90.19817,4.752701,3483295
1,118,69.0817,74.30827,5.22657,2445192
1,119,27.31479,24.01683,-3.297968,2940155
1,120,0.2184394,0.3029997,0.0845603,4395.678
1,121,2.985779,0.9735152,-2.012263,4846.636
1,122,2.753589,1.229028,-1.524561,40442.46
1,123,38.22216,32.173,-6.04916,1242465
1,124,83.93246,81.56775,-2.364716,1951862
2,1,23.37365,19.13256,-4.241091,1433155
2,2,1.379275,0.7111659,-0.6681087,3386.181
2,3,77.54635,76.57127,-0.9750824,364590.3
2,9,85.25002,95.71307,10.46304,91655.79
2,4,63.36799,73.68363,10.31564,350840.9
2,5,85.62575,71.37276,-14.25299,339837.8
2,6,68.05447,71.37276,3.318291,339837.8
2,7,85.62575,96.32677,10.70103,92243.48
2,8,71.36744,89.48894,18.1215,85695.5
2,10,27.91967,40.83776,12.91809,3059019
2,11,75.3327,96.22626,20.89357,92147.23
2,12,70.11722,73.08668,2.96946,347998.6
2,13,19.21153,15.52709,-3.684435,73931.47
2,14,89.29296,96.68166,7.388702,92583.33
2,15,,70.56682,,56667.27
2,16,82.319,89.94009,7.621086,86127.52
2,18,,87.6301,,83915.46
2,19,72.68886,75.56154,2.872681,153826.7
2,20,4.074404,1.683419,-2.390985,1612.059
2,21,70.49647,71.60783,1.111366,285232.6
2,22,70.59772,72.57332,1.975594,289078.4
2,23,95.32556,97.85934,2.533783,465952.4
2,24,82.34304,95.75034,13.4073,455910.4
2,25,16.73175,21.08775,4.355997,100408.3
2,26,44.94063,51.57242,6.63179,40233.19
2,27,16.43134,17.44218,1.010845,59551.8
2,28,61.81562,71.76959,9.953968,341727.3
2,29,12.59297,19.19384,6.600862,269998.3
2,30,56.9913,74.21275,17.22145,1043946
2,31,52.09947,63.41967,11.3202,892120.1
2,32,15.70551,7.859651,-7.84586,110561.2
2,33,29.67845,24.27688,-5.401567,341501.2
2,34,40.2302,58.05193,17.82174,816612.5
2,35,34.54687,37.7448,3.197933,530953.5
2,36,3.380001,1.604371,-1.77563,837.963
2,37,,0.0999232,,1405.613
2,38,76.40854,88.19927,11.79073,419956.4
2,39,49.79372,67.33488,17.54116,268212.3
2,40,23.06822,43.16125,20.09303,171922.5
2,41,0.8620201,1.140396,0.2783763,16041.88
2,42,2.438262,3.333901,0.8956389,46897.75
2,43,89.15229,94.46246,5.310165,376268.5
2,44,95.31046,98.69096,3.380493,388042
2,45,88.82505,92.20032,3.375267,362521.5
2,46,1.53642,1.463864,-0.0725555,20592.08
2,47,70.31126,89.28725,18.976,355654.3
2,49,94.02139,96.87563,2.854248,385880.8
2,50,79.01866,87.15421,8.135551,414980.4
2,51,4.841113,2.778998,-2.062114,39091.98
2,52,6.644576,4.712448,-1.932128,22438.09
2,53,,15.6823,,324346.9
2,54,,11.16913,,220544.3
2,55,4.252687,4.649425,0.3967371,96161.07
2,56,2.901963,4.233005,1.331042,83584.45
2,57,7.816155,8.922579,1.106423,184540
2,58,6.488581,7.467215,0.9786334,147446.8
2,59,18.84718,11.94989,-6.897291,247151.9
2,60,9.405909,6.90129,-2.504618,136272.1
2,61,5.441372,2.68863,-2.752742,55607.21
2,62,3.379224,1.995731,-1.383493,39407.49
2,63,3.464226,2.558293,-0.9059334,12181.18
2,64,3.268637,2.466882,-0.8017547,11745.94
2,65,2.373547,2.079351,-0.2941964,9900.725
2,66,,62.37408,,1231632
2,67,3.214997,3.281938,0.0669417,67878.23
2,68,3.031787,2.669534,-0.3622527,52712.33
2,69,52.60763,51.73843,-0.8692017,135421.7
2,70,53.45451,51.72045,-1.734062,1021266
2,71,50.39958,41.93507,-8.464512,48.64468
2,72,53.59176,55.01558,1.423824,240029.7
2,73,26.37696,30.85452,4.47756,146912.3
2,74,21.38171,25.51436,4.132654,121485.4
2,75,13.95596,17.40176,3.445795,82857.59
2,76,22.73414,25.55262,2.818478,111484.5
2,77,24.72797,26.46376,1.735794,522550.5
2,78,28.31002,21.22816,-7.081856,92617.2
2,79,27.28846,23.93036,-3.358097,472526.3
2,80,1.841789,5.655716,3.813927,26929.41
2,81,28.63925,30.38514,1.745888,599981.6
2,82,1.350815,1.77913,0.4283149,7762.238
2,83,1.977787,1.743573,-0.2342144,34428.39
2,84,7.7444,13.70272,5.958319,65244.81
2,85,4.265436,7.398375,3.132939,35226.99
2,86,4.072305,6.855646,2.783341,32642.81
2,87,16.14506,13.87947,-2.265588,263712.7
2,88,11.71769,16.61406,4.896376,18341.43
2,89,10.11059,22.19656,12.08597,8730.351
2,90,11.42205,18.02166,6.599609,26986.36
2,91,41.52642,45.70249,4.176067,118040.4
2,92,80.95768,86.68176,5.724083,412730.9
